name_common,name_official,cca3,lat,lng
Kuwait,State of Kuwait,KWT,29.5,45.75
Austria,Republic of Austria,AUT,47.33333333,13.33333333
Mayotte,Department of Mayotte,MYT,-12.83333333,45.16666666
Tunisia,Tunisian Republic,TUN,34.0,9.0
Japan,Japan,JPN,36.0,138.0
Guyana,Co-operative Republic of Guyana,GUY,5.0,-59.0
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",SHN,-15.95,-5.72
Saint Martin,Saint Martin,MAF,18.0708,63.0501
Guatemala,Republic of Guatemala,GTM,15.5,-90.25
Venezuela,Bolivarian Republic of Venezuela,VEN,8.0,-66.0
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,ATF,-49.25,69.167
Cape Verde,Republic of Cabo Verde,CPV,16.5388,23.0418
Azerbaijan,Republic of Azerbaijan,AZE,40.5,47.5
Guernsey,Bailiwick of Guernsey,GGY,49.46666666,-2.58333333
Kenya,Republic of Kenya,KEN,1.0,38.0
South Sudan,Republic of South Sudan,SSD,7.0,30.0
Myanmar,Republic of the Union of Myanmar,MMR,22.0,98.0
Liechtenstein,Principality of Liechtenstein,LIE,47.26666666,9.53333333
Martinique,Martinique,MTQ,14.666667,-61.0
Australia,Commonwealth of Australia,AUS,-27.0,133.0
Costa Rica,Republic of Costa Rica,CRI,10.0,-84.0
Palestine,State of Palestine,PSE,31.9,35.2
Spain,Kingdom of Spain,ESP,40.0,-4.0
Guinea-Bissau,Republic of Guinea-Bissau,GNB,12.0,-15.0
Åland Islands,Åland Islands,ALA,60.116667,19.9
Sierra Leone,Republic of Sierra Leone,SLE,8.5,-11.5
Philippines,Republic of the Philippines,PHL,13.0,122.0
Togo,Togolese Republic,TGO,8.0,1.16666666
Russia,Russian Federation,RUS,60.0,100.0
Haiti,Republic of Haiti,HTI,19.0,-72.41666666
South Korea,Republic of Korea,KOR,37.0,127.5
Samoa,Independent State of Samoa,WSM,-13.58333333,-172.33333333
Aruba,Aruba,ABW,12.5,-69.96666666
Afghanistan,Islamic Republic of Afghanistan,AFG,33.0,65.0
Bouvet Island,Bouvet Island,BVT,54.4208,3.3464
Bahamas,Commonwealth of the Bahamas,BHS,25.0343,-77.3963
Georgia,Georgia,GEO,42.0,43.5
Cayman Islands,Cayman Islands,CYM,19.3133,-81.2546
North Macedonia,Republic of North Macedonia,MKD,41.83333333,22.0
Syria,Syrian Arab Republic,SYR,35.0,38.0
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,HKG,22.267,114.188
Chile,Republic of Chile,CHL,-30.0,-71.0
Zimbabwe,Republic of Zimbabwe,ZWE,-20.0,30.0
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",BES,12.18,-68.25
Netherlands,Kingdom of the Netherlands,NLD,52.5,5.75
Canada,Canada,CAN,60.0,-95.0
Equatorial Guinea,Republic of Equatorial Guinea,GNQ,2.0,10.0
Eswatini,Kingdom of Eswatini,SWZ,-26.5,31.5
Oman,Sultanate of Oman,OMN,21.0,57.0
United States,United States of America,USA,38.0,-97.0
Heard Island and McDonald Islands,Heard Island and McDonald Islands,HMD,53.0818,73.5042
Romania,Romania,ROU,46.0,25.0
South Africa,Republic of South Africa,ZAF,-29.0,24.0
Mozambique,Republic of Mozambique,MOZ,-18.25,35.0
Trinidad and Tobago,Republic of Trinidad and Tobago,TTO,10.6918,-61.2225
Bahrain,Kingdom of Bahrain,BHR,26.0,50.55
Republic of the Congo,Republic of the Congo,COG,-1.0,15.0
Lebanon,Lebanese Republic,LBN,33.83333333,35.83333333
Réunion,Réunion Island,REU,-21.15,55.5
Estonia,Republic of Estonia,EST,59.0,26.0
Bangladesh,People's Republic of Bangladesh,BGD,24.0,90.0
Ethiopia,Federal Democratic Republic of Ethiopia,ETH,8.0,38.0
Peru,Republic of Peru,PER,-10.0,-76.0
South Georgia,South Georgia and the South Sandwich Islands,SGS,-54.5,-37.0
Ecuador,Republic of Ecuador,ECU,-2.0,-77.5
Vatican City,Vatican City State,VAT,41.9,12.45
Mauritius,Republic of Mauritius,MUS,-20.28333333,57.55
American Samoa,American Samoa,ASM,-14.33333333,-170.0
Saint Pierre and Miquelon,Saint Pierre and Miquelon,SPM,46.83333333,-56.33333333
Cuba,Republic of Cuba,CUB,21.5,-80.0
British Indian Ocean Territory,British Indian Ocean Territory,IOT,-6.0,71.5
Vietnam,Socialist Republic of Vietnam,VNM,16.16666666,107.83333333
Benin,Republic of Benin,BEN,9.5,2.25
Greece,Hellenic Republic,GRC,39.0,22.0
Grenada,Grenada,GRD,12.11666666,-61.66666666
Belize,Belize,BLZ,17.25,-88.75
China,People's Republic of China,CHN,35.0,105.0
Montenegro,Montenegro,MNE,42.5,19.3
Thailand,Kingdom of Thailand,THA,15.0,100.0
Guam,Guam,GUM,13.46666666,144.78333333
Comoros,Union of the Comoros,COM,-12.16666666,44.25
Laos,Lao People's Democratic Republic,LAO,18.0,105.0
Mali,Republic of Mali,MLI,17.0,-4.0
Germany,Federal Republic of Germany,DEU,51.0,9.0
Suriname,Republic of Suriname,SUR,4.0,-56.0
Gambia,Republic of the Gambia,GMB,13.46666666,-16.56666666
Maldives,Republic of the Maldives,MDV,3.25,73.0
Tonga,Kingdom of Tonga,TON,-20.0,-175.0
Antigua and Barbuda,Antigua and Barbuda,ATG,17.05,-61.8
Guinea,Republic of Guinea,GIN,11.0,-10.0
Curaçao,Country of Curaçao,CUW,12.116667,-68.933333
Panama,Republic of Panama,PAN,9.0,-80.0
Papua New Guinea,Independent State of Papua New Guinea,PNG,-6.0,147.0
New Caledonia,New Caledonia,NCL,-21.5,165.5
Croatia,Republic of Croatia,HRV,45.16666666,15.5
Palau,Republic of Palau,PLW,7.5,134.5
United States Virgin Islands,Virgin Islands of the United States,VIR,18.35,-64.933333
Cambodia,Kingdom of Cambodia,KHM,13.0,105.0
Puerto Rico,Commonwealth of Puerto Rico,PRI,18.25,-66.5
French Polynesia,French Polynesia,PYF,17.6797,149.4068
Nicaragua,Republic of Nicaragua,NIC,13.0,-85.0
Colombia,Republic of Colombia,COL,4.0,-72.0
Mauritania,Islamic Republic of Mauritania,MRT,20.0,-12.0
Botswana,Republic of Botswana,BWA,-22.0,24.0
Fiji,Republic of Fiji,FJI,17.7134,178.065
Latvia,Republic of Latvia,LVA,57.0,25.0
Svalbard and Jan Mayen,Svalbard og Jan Mayen,SJM,78.0,20.0
Bermuda,Bermuda,BMU,32.33333333,-64.75
Uganda,Republic of Uganda,UGA,1.0,32.0
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,44.0,18.0
Gabon,Gabonese Republic,GAB,-1.0,11.75
Chad,Republic of Chad,TCD,15.0,19.0
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,CCK,12.1642,96.871
Kazakhstan,Republic of Kazakhstan,KAZ,48.0196,66.9237
Pitcairn Islands,Pitcairn Group of Islands,PCN,-25.06666666,-130.1
Guadeloupe,Guadeloupe,GLP,16.25,-61.583333
Sudan,Republic of the Sudan,SDN,15.0,30.0
Dominica,Commonwealth of Dominica,DMA,15.41666666,-61.33333333
Qatar,State of Qatar,QAT,25.5,51.25
Barbados,Barbados,BRB,13.16666666,-59.53333333
Turkey,Republic of Turkey,TUR,39.0,35.0
Denmark,Kingdom of Denmark,DNK,56.0,10.0
Marshall Islands,Republic of the Marshall Islands,MHL,9.0,168.0
Yemen,Republic of Yemen,YEM,15.0,48.0
Antarctica,Antarctica,ATA,-90.0,0.0
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,STP,1.0,7.0
